##r	1.006e-02
#re	8.586e-01
res	1.245e-01
esu	1.339e-02
sum	1.927e-02
ump	2.660e-02
mpt	1.938e-02
pti	2.289e-01
tio	3.602e-01
ion	7.452e-01
on 	3.965e-01
n o	6.631e-02
 of	4.517e-01
of 	9.043e-01
f t	2.890e-01
 th	5.543e-01
the	5.922e-01
he 	5.523e-01
e 0	1.707e-02
 0 	7.295e-01
0 s	3.601e-02
 se	1.183e-01
ses	6.309e-02
ess	1.210e-01
ssi	4.430e-01
sio	3.265e-01
on#	7.075e-03
##y	1.502e-02
#yo	7.879e-01
you	7.899e-01
ou 	1.074e-01
u h	7.678e-02
 ha	5.573e-01
hav	1.560e-01
ave	8.387e-01
ve 	3.177e-01
e r	4.438e-02
 re	6.687e-01
req	2.670e-02
equ	9.967e-01
que	3.194e-01
ues	3.079e-01
est	8.110e-02
ste	7.242e-02
ted	1.499e-01
ed 	7.313e-01
d a	7.197e-02
 a 	1.228e-01
a d	5.744e-02
 de	3.869e-01
deb	5.943e-02
eba	7.877e-01
bat	3.368e-01
ate	1.836e-01
te 	1.565e-01
e o	6.016e-02
 on	1.891e-01
n t	1.732e-01
thi	1.141e-01
his	4.106e-01
is 	4.671e-01
s s	4.812e-02
 su	1.018e-01
sub	1.411e-01
ubj	1.754e-01
bje	9.960e-01
jec	7.459e-01
ect	4.202e-01
ct 	1.470e-01
t i	1.029e-01
 in	3.790e-01
in 	2.646e-01
e c	6.932e-02
 co	6.376e-01
cou	9.141e-02
our	2.149e-01
urs	6.632e-02
rse	1.173e-01
se 	2.943e-01
e n	2.828e-02
 ne	2.330e-01
nex	3.263e-02
ext	2.579e-01
xt 	4.193e-01
t f	2.782e-02
 fe	5.552e-02
few	9.181e-02
ew 	7.284e-01
w d	4.938e-02
 da	8.458e-02
day	2.241e-01
ays	1.728e-01
ys 	4.727e-01
s d	2.520e-02
 du	2.945e-02
dur	2.176e-01
uri	3.355e-02
rin	1.298e-01
ing	2.387e-01
ng 	7.803e-01
g t	2.178e-01
s p	4.303e-02
 pa	1.781e-01
par	6.527e-01
art	1.353e-01
rts	5.330e-02
tse	5.243e-02
on.	3.024e-02
n.#	9.994e-01
##i	2.197e-01
#in	1.750e-01
e m	3.885e-02
 me	2.045e-01
mea	3.650e-02
ean	1.803e-01
ant	5.103e-02
nti	8.758e-02
tim	4.246e-02
ime	2.130e-01
me 	1.338e-01
e i	5.811e-02
 i 	9.422e-02
i s	1.185e-01
 sh	1.010e-01
sho	4.067e-01
hou	3.480e-01
oul	2.284e-01
uld	4.578e-01
ld 	8.783e-01
d l	4.266e-02
 li	3.426e-01
lik	1.401e-01
ike	9.341e-01
ke 	4.957e-01
e t	9.379e-02
 to	1.806e-01
to 	6.853e-01
o o	3.127e-02
 ob	3.572e-02
obs	1.331e-01
bse	2.517e-01
ser	7.556e-02
erv	2.893e-02
rve	4.333e-01
e a	7.611e-02
a m	6.473e-02
 mi	6.352e-02
min	1.913e-01
inu	1.787e-02
nut	1.476e-01
ute	1.160e-01
e s	5.132e-02
 s 	4.911e-02
 si	6.875e-02
sil	9.629e-03
ile	7.753e-02
len	5.073e-02
enc	4.463e-02
nce	5.159e-01
ce 	2.798e-01
 as	8.159e-02
as 	4.826e-01
s a	1.156e-01
a n	4.285e-02
 nu	5.111e-02
num	2.781e-01
umb	2.190e-01
mbe	8.519e-01
ber	1.571e-01
er 	2.746e-01
r o	6.500e-02
f m	2.261e-02
mem	6.801e-02
emb	1.893e-01
ers	7.874e-02
rs 	4.355e-01
s h	3.233e-02
d o	4.885e-02
n b	2.946e-02
 be	5.771e-01
beh	2.761e-02
eha	4.494e-01
hal	5.411e-02
alf	1.639e-02
lf 	5.934e-01
f o	3.429e-02
f a	5.299e-02
 al	6.976e-02
all	2.164e-01
ll 	5.285e-01
l t	8.470e-02
e v	1.912e-02
 vi	1.642e-01
vic	7.905e-02
ict	1.093e-02
cti	3.115e-01
ims	1.518e-02
ms 	5.515e-01
s c	3.590e-02
con	2.648e-01
onc	4.037e-02
cer	9.276e-02
ern	4.803e-02
rne	1.751e-01
ned	8.050e-02
d p	3.358e-02
rti	1.371e-01
tic	7.520e-02
icu	1.165e-01
cul	5.216e-01
ula	2.267e-01
lar	1.938e-01
arl	1.226e-01
rly	3.547e-01
ly 	8.721e-01
y t	1.186e-01
tho	1.853e-02
hos	6.368e-02
ose	2.295e-01
 te	2.198e-02
ter	1.663e-01
err	1.665e-02
rri	1.565e-01
rib	4.469e-02
ibl	4.780e-01
ble	6.468e-01
le 	2.624e-01
 st	1.756e-01
sto	2.400e-02
tor	5.755e-02
orm	4.004e-02
rms	1.701e-01
s i	7.384e-02
 va	1.710e-01
var	1.429e-01
ari	5.376e-02
rio	1.704e-01
iou	3.723e-02
ous	1.087e-01
us 	2.253e-01
oun	1.037e-01
unt	1.381e-01
ntr	7.091e-02
tri	1.394e-01
rie	9.305e-02
ies	4.222e-01
es 	3.768e-01
s o	7.614e-02
e e	3.885e-02
 eu	1.521e-01
eur	9.246e-01
uro	1.732e-01
rop	2.271e-01
ope	4.127e-01
pea	2.067e-01
an 	1.526e-01
n u	2.510e-02
 un	4.762e-01
uni	2.427e-01
nio	1.849e-01
##p	1.750e-02
#pl	2.179e-01
ple	4.017e-01
lea	8.407e-02
eas	1.836e-01
ase	8.051e-02
 ri	3.155e-02
ris	6.016e-02
ise	4.865e-02
hen	3.189e-02
en 	1.776e-01
n f	3.649e-02
 fo	4.208e-01
for	7.682e-01
or 	2.890e-01
r t	1.406e-01
s m	3.437e-02
ce.	2.928e-02
e.#	9.724e-01
##t	2.408e-01
#th	7.845e-01
e h	2.654e-02
 ho	1.256e-01
use	2.343e-01
 ro	5.584e-02
ros	1.562e-02
 an	2.686e-01
and	4.161e-01
nd 	6.525e-01
ved	3.650e-02
ce#	1.040e-02
##m	1.043e-01
#ma	2.591e-01
mad	1.405e-01
ada	1.143e-01
dam	2.051e-01
am 	1.775e-01
m p	1.040e-01
 pr	4.117e-01
pre	2.853e-01
esi	1.007e-01
sid	1.572e-01
ide	6.898e-01
den	1.583e-01
ent	4.435e-01
nt 	3.681e-01
t o	7.972e-02
n a	9.043e-02
a p	9.757e-02
 po	1.936e-01
poi	8.031e-02
oin	7.569e-01
int	8.097e-02
 or	4.935e-02
ord	4.573e-02
rde	1.423e-01
der	1.089e-01
er.	2.688e-02
r.#	9.994e-01
u w	7.678e-02
 wi	2.068e-01
wil	2.391e-01
ill	4.124e-01
l b	3.574e-02
be 	2.372e-01
 aw	9.454e-03
awa	2.923e-01
war	1.381e-01
are	2.211e-01
re 	1.987e-01
e f	3.791e-02
 fr	9.348e-02
fro	5.255e-01
rom	8.178e-02
om 	9.257e-02
m t	1.790e-01
e p	5.401e-02
ss 	1.718e-01
d t	1.537e-01
tel	3.332e-02
ele	5.935e-02
lev	4.493e-02
evi	9.455e-02
vis	2.027e-01
isi	4.022e-02
tha	1.187e-01
hat	3.942e-01
at 	3.121e-01
t t	1.358e-01
her	9.298e-02
ere	1.552e-01
e b	2.717e-02
bee	1.295e-01
een	2.939e-01
f b	1.949e-02
 bo	3.264e-02
bom	2.083e-02
omb	9.218e-03
mb 	1.088e-02
b e	1.760e-01
 ex	1.583e-01
exp	2.639e-01
xpl	3.137e-01
plo	2.133e-01
los	4.412e-02
osi	1.471e-01
ons	1.292e-01
ns 	3.882e-01
d k	1.294e-02
 ki	2.157e-01
kil	4.597e-02
lli	1.726e-02
lin	1.262e-01
ngs	1.911e-02
gs 	3.922e-01
n s	4.587e-02
 sr	6.686e-03
sri	4.318e-01
ri 	1.180e-02
i l	1.658e-02
 la	2.032e-01
lan	1.425e-01
ank	2.518e-02
nka	3.391e-02
ka.	1.449e-01
a.#	9.994e-01
##o	2.246e-02
#on	3.926e-01
one	7.078e-02
ne 	1.344e-01
 pe	7.898e-02
peo	4.761e-02
eop	7.100e-01
opl	6.163e-02
ass	5.677e-02
ssa	5.131e-02
sas	5.095e-02
sin	9.549e-02
ina	3.624e-02
nat	2.116e-01
d v	1.459e-02
 ve	3.411e-01
ver	1.806e-01
ery	5.145e-02
ry 	8.453e-01
y r	3.692e-02
rec	3.914e-02
ece	8.992e-02
cen	8.590e-02
ntl	3.683e-02
tly	6.450e-01
y i	8.494e-02
ka 	5.627e-01
a w	3.920e-02
 wa	9.821e-02
was	2.706e-01
 mr	1.283e-01
mr 	6.581e-01
r k	2.107e-02
 ku	1.840e-02
kum	9.310e-01
uma	6.268e-02
mar	6.138e-02
ar 	7.812e-02
r p	6.324e-02
pon	4.813e-02
onn	7.558e-03
nna	1.891e-02
nam	2.059e-02
amb	1.160e-02
mba	7.933e-02
bal	1.003e-01
ala	1.639e-02
lam	1.544e-02
m w	4.054e-02
 wh	2.837e-01
who	8.429e-02
ho 	6.687e-02
o h	3.518e-02
had	2.585e-02
ad 	1.682e-01
sit	9.428e-02
ite	6.803e-02
n p	4.822e-02
rli	5.381e-01
lia	1.185e-01
iam	2.429e-01
ame	4.308e-01
men	4.416e-01
t j	1.525e-02
 ju	6.589e-01
jus	8.125e-01
ust	2.388e-01
st 	2.560e-01
t a	7.779e-02
a f	6.656e-02
w m	5.357e-02
 mo	1.588e-01
mon	2.502e-01
ont	3.700e-02
nth	1.363e-02
ths	5.558e-03
hs 	5.729e-01
 ag	3.617e-02
ago	4.534e-02
go.	3.416e-02
o.#	9.994e-01
#ye	1.761e-01
yes	9.453e-02
r e	3.864e-02
 ev	7.298e-02
eva	5.385e-02
van	2.052e-01
ans	6.049e-02
i f	2.606e-02
fee	5.758e-02
eel	2.973e-02
el 	6.913e-02
l a	1.123e-01
n i	6.397e-02
ini	3.200e-02
nit	2.141e-01
iti	1.744e-01
